,Links,Title,Meta-data(DESC),Internal,External,unigram,bi-gram,web-page size
22,https://www.udacity.com/course/business-analytics-nanodegree--nd098,Business Analytics Online Course,"Gain data skills applicable to any industry. Collect and analyze data, model scenarios, and communicate your findings. Learn online with Udacity.",yes,no,"['Â', 'I', 'Udacity', 'program', 'Nanodegree', 'Learning', 'data', 'Data', 'learning', 'career', 'skills', 'AI', 'Product', 'learn', 'projects', 'Science', 'Machine', 'helped', 'job']","[('Udacity', 'helped'), ('Â', 'Â'), ('new', 'job'), ('Udacity', 'I'), ('helped', 'get'), ('I', 'got'), ('Android', 'Developer'), ('data', 'structures'), ('Distribution', 'OpenVINOâ'), ('IntelÂ', 'Distribution'), ('I', 'learned'), ('helped', 'learn'), ('I', 'needed'), ('skills', 'I'), ('Android', 'developer'), ('Cloud', 'Architect'), ('Product', 'Manager'), ('OpenVINOâ', 'Toolkit'), ('Android', 'development')]",N/A
23,https://www.udacity.com/school-of-data-science,Data Science Online Courses & Programs,"Build expertise in data manipulation, visualization, predictive analytics, machine learning, and data science. All online, with Udacity.",yes,no,"['Â', 'I', 'Udacity', 'program', 'Nanodegree', 'Learning', 'Data', 'data', 'learning', 'career', 'skills', 'AI', 'Product', 'Science', 'learn', 'projects', 'Machine', 'Cloud', 'helped']","[('Udacity', 'helped'), ('Â', 'Â'), ('new', 'job'), ('Udacity', 'I'), ('helped', 'get'), ('I', 'got'), ('Android', 'Developer'), ('data', 'structures'), ('Distribution', 'OpenVINOâ'), ('IntelÂ', 'Distribution'), ('I', 'learned'), ('helped', 'learn'), ('I', 'needed'), ('skills', 'I'), ('Android', 'developer'), ('Cloud', 'Architect'), ('Product', 'Manager'), ('OpenVINOâ', 'Toolkit'), ('MoreÂ', 'Â')]",N/A
24,https://www.udacity.com/course/developer-for-microsoft-azure-nanodegree--nd081,Developer for Microsoft Azure Online Course,Our new Developer for Microsoft Azure online course will teach you how to build cloud-based applications on Microsoft Azure. Learn online with Udacity.,yes,no,"['Â', 'I', 'Udacity', 'program', 'Nanodegree', 'Learning', 'Data', 'data', 'learning', 'career', 'skills', 'AI', 'Product', 'Science', 'learn', 'projects', 'Cloud', 'Machine', 'Engineer']","[('Udacity', 'helped'), ('Â', 'Â'), ('new', 'job'), ('Udacity', 'I'), ('helped', 'get'), ('I', 'got'), ('Android', 'Developer'), ('data', 'structures'), ('Distribution', 'OpenVINOâ'), ('IntelÂ', 'Distribution'), ('I', 'learned'), ('helped', 'learn'), ('I', 'needed'), ('skills', 'I'), ('Android', 'developer'), ('Cloud', 'Architect'), ('Product', 'Manager'), ('OpenVINOâ', 'Toolkit'), ('MoreÂ', 'Â')]",N/A
25,https://www.udacity.com/course/predictive-analytics-for-business-nanodegree--nd008,Predictive Analytics Online Course,In this course you will learn to apply predictive analytics and business intelligence to solve real-world business problems. Learn online with Udacity.,yes,no,"['Â', 'I', 'Udacity', 'program', 'Nanodegree', 'Data', 'Learning', 'data', 'learning', 'career', 'skills', 'AI', 'Product', 'learn', 'Science', 'projects', 'Engineer', 'Cloud', 'Machine']","[('Udacity', 'helped'), ('Â', 'Â'), ('new', 'job'), ('Udacity', 'I'), ('helped', 'get'), ('I', 'got'), ('Android', 'Developer'), ('data', 'structures'), ('Distribution', 'OpenVINOâ'), ('IntelÂ', 'Distribution'), ('I', 'learned'), ('helped', 'learn'), ('I', 'needed'), ('Nanodegree', 'program'), ('skills', 'I'), ('Android', 'developer'), ('Cloud', 'Architect'), ('OpenVINOâ', 'Toolkit'), ('MoreÂ', 'Â')]",N/A
26,https://www.udacity.com/course/front-end-web-developer-nanodegree--nd0011,Become a Front End Web Developer,"Learn how to build high quality websites and dynamic applications to create stunning user experiences for the web. Learn online, with Udacity.",yes,no,"['Â', 'I', 'Udacity', 'program', 'Nanodegree', 'Learning', 'Data', 'data', 'learning', 'career', 'skills', 'AI', 'Product', 'projects', 'Science', 'learn', 'Engineer', 'Cloud', 'Machine']","[('Udacity', 'helped'), ('Â', 'Â'), ('new', 'job'), ('Udacity', 'I'), ('helped', 'get'), ('I', 'got'), ('Android', 'Developer'), ('data', 'structures'), ('Distribution', 'OpenVINOâ'), ('IntelÂ', 'Distribution'), ('End', 'Web'), ('I', 'learned'), ('helped', 'learn'), ('I', 'needed'), ('skills', 'I'), ('Android', 'developer'), ('Cloud', 'Architect'), ('OpenVINOâ', 'Toolkit'), ('MoreÂ', 'Â')]",N/A
27,http://blog.udacity.com/,403 Forbidden,N/A,no,yes,"['Â', 'I', 'Udacity', 'program', 'Nanodegree', 'Learning', 'Data', 'data', 'learning', 'career', 'skills', 'AI', 'Product', 'projects', 'Science', 'learn', 'Engineer', 'Cloud', 'Machine']","[('Udacity', 'helped'), ('Â', 'Â'), ('new', 'job'), ('Udacity', 'I'), ('helped', 'get'), ('I', 'got'), ('Android', 'Developer'), ('data', 'structures'), ('Distribution', 'OpenVINOâ'), ('IntelÂ', 'Distribution'), ('End', 'Web'), ('I', 'learned'), ('helped', 'learn'), ('I', 'needed'), ('skills', 'I'), ('Android', 'developer'), ('Cloud', 'Architect'), ('OpenVINOâ', 'Toolkit'), ('MoreÂ', 'Â')]",N/A
28,https://www.udacity.com/school-of-business,Modern Business Online Courses & Programs,"Modern business objectives are achieved with user research, design, distribution, analysis, and strategy. Learn online, with Udacity.",yes,no,"['Â', 'I', 'Udacity', 'program', 'Nanodegree', 'Data', 'Learning', 'data', 'learning', 'career', 'skills', 'Product', 'AI', 'Science', 'projects', 'learn', 'Engineer', 'Cloud', 'Machine']","[('Udacity', 'helped'), ('Â', 'Â'), ('new', 'job'), ('Udacity', 'I'), ('helped', 'get'), ('I', 'got'), ('Android', 'Developer'), ('data', 'structures'), ('Distribution', 'OpenVINOâ'), ('IntelÂ', 'Distribution'), ('I', 'learned'), ('helped', 'learn'), ('I', 'needed'), ('skills', 'I'), ('Android', 'developer'), ('Cloud', 'Architect'), ('OpenVINOâ', 'Toolkit'), ('MoreÂ', 'Â'), ('Android', 'development')]",N/A
29,https://udacity.zendesk.com/hc/en-us,Security check,N/A,no,yes,"['Â', 'I', 'Udacity', 'program', 'Nanodegree', 'Data', 'Learning', 'data', 'learning', 'career', 'skills', 'Product', 'AI', 'Science', 'projects', 'learn', 'Engineer', 'Cloud', 'Machine']","[('Udacity', 'helped'), ('Â', 'Â'), ('new', 'job'), ('Udacity', 'I'), ('helped', 'get'), ('I', 'got'), ('Android', 'Developer'), ('data', 'structures'), ('Distribution', 'OpenVINOâ'), ('IntelÂ', 'Distribution'), ('I', 'learned'), ('helped', 'learn'), ('I', 'needed'), ('skills', 'I'), ('Android', 'developer'), ('Cloud', 'Architect'), ('OpenVINOâ', 'Toolkit'), ('MoreÂ', 'Â'), ('Android', 'development')]",N/A
30,https://www.udacity.com/course/data-science-for-business-leaders--nd045,Data Science for Business Leaders,"The Data Science for Business Leaders Executive Program prepares managers and executives to implement data science initiatives across their businesses. Learn online, with Udacity.",yes,no,"['Â', 'I', 'Udacity', 'program', 'Nanodegree', 'Data', 'data', 'Learning', 'learning', 'career', 'skills', 'Science', 'Product', 'AI', 'projects', 'learn', 'Cloud', 'Machine', 'Engineer']","[('Udacity', 'helped'), ('Â', 'Â'), ('new', 'job'), ('Udacity', 'I'), ('Data', 'Science'), ('helped', 'get'), ('I', 'got'), ('Android', 'Developer'), ('data', 'structures'), ('data', 'science'), ('Distribution', 'OpenVINOâ'), ('IntelÂ', 'Distribution'), ('I', 'learned'), ('helped', 'learn'), ('I', 'needed'), ('skills', 'I'), ('Android', 'developer'), ('Cloud', 'Architect'), ('OpenVINOâ', 'Toolkit')]",N/A
31,https://www.udacity.com/course/ios-developer-nanodegree--nd003,iOS Developer Online Course,"Master the Swift programming language, and create a portfolio of iOS apps for iPhone and iPad to showcase your skills! Learn online with Udacity.",yes,no,"['Â', 'I', 'program', 'Udacity', 'Nanodegree', 'Data', 'data', 'Learning', 'learning', 'career', 'skills', 'Science', 'Product', 'projects', 'AI', 'learn', 'Cloud', 'Engineer', 'Machine']","[('Udacity', 'helped'), ('Â', 'Â'), ('new', 'job'), ('Udacity', 'I'), ('helped', 'get'), ('I', 'got'), ('Android', 'Developer'), ('data', 'structures'), ('data', 'science'), ('Distribution', 'OpenVINOâ'), ('IntelÂ', 'Distribution'), ('I', 'learned'), ('helped', 'learn'), ('I', 'needed'), ('skills', 'I'), ('Android', 'developer'), ('Cloud', 'Architect'), ('OpenVINOâ', 'Toolkit'), ('MoreÂ', 'Â')]",N/A
